type,priority,status,complexityScore,riskLevel,targetAgentCount,expectedCallsPerAgent,targetConversionRate,qualityScoreTarget,dependenciesCount,reopenCount,delayHours,estimatedHours
TRAINING,MEDIUM,TO_DO,3,2,10,20,12.50,85,1,0,0.00,16
SCRIPTING,LOW,DONE,2,1,0,0,0.00,80,0,0,0.00,4
QUALITY_ASSURANCE,HIGH,IN_PROGRESS,4,3,0,0,0.00,90,2,1,2.50,25
COACHING,MEDIUM,DONE,3,2,5,30,8.00,88,0,0,0.00,8
REPORTING,LOW,DONE,1,1,0,0,0.00,75,0,0,0.00,3
CAMPAIGN,CRITICAL,IN_PROGRESS,5,4,20,50,20.00,92,3,1,6.00,40
SYSTEM_SETUP,HIGH,DONE,4,4,0,0,0.00,85,2,0,1.00,24
OTHER,MEDIUM,DONE,2,2,0,0,0.00,78,0,0,0.00,6
TRAINING,HIGH,IN_REVIEW,4,3,15,25,10.00,90,1,0,0.00,20
SCRIPTING,MEDIUM,TO_DO,3,2,0,0,0.00,82,0,0,0.00,6
QUALITY_ASSURANCE,CRITICAL,IN_PROGRESS,5,5,0,0,0.00,95,4,2,8.00,48
COACHING,LOW,DONE,2,1,3,15,5.00,80,0,0,0.00,5
REPORTING,MEDIUM,DONE,2,1,0,0,0.00,77,0,0,0.00,4
CAMPAIGN,HIGH,IN_PROGRESS,4,3,12,40,15.00,89,2,1,3.50,30
SYSTEM_SETUP,MEDIUM,TO_DO,3,3,0,0,0.00,83,1,0,0.00,12
OTHER,LOW,DONE,1,1,0,0,0.00,70,0,0,0.00,2
TRAINING,CRITICAL,IN_PROGRESS,5,4,25,30,18.00,93,3,1,4.00,36
SCRIPTING,HIGH,DONE,4,2,0,0,0.00,84,0,0,0.00,10
QUALITY_ASSURANCE,MEDIUM,IN_REVIEW,3,2,0,0,0.00,88,1,0,0.00,14
COACHING,HIGH,IN_PROGRESS,4,3,8,20,9.00,87,1,0,0.00,18
REPORTING,LOW,DONE,1,1,0,0,0.00,72,0,0,0.00,3
CAMPAIGN,MEDIUM,TO_DO,3,2,10,35,11.00,86,1,0,0.00,22
SYSTEM_SETUP,CRITICAL,IN_PROGRESS,5,5,0,0,0.00,90,3,1,5.00,42
OTHER,MEDIUM,DONE,2,2,0,0,0.00,76,0,0,0.00,6
TRAINING,MEDIUM,DONE,3,2,12,22,11.00,88,1,0,0.00,18
SCRIPTING,LOW,TO_DO,2,1,0,0,0.00,79,0,0,0.00,5
QUALITY_ASSURANCE,HIGH,DONE,4,3,0,0,0.00,91,2,0,0.00,26
COACHING,MEDIUM,IN_REVIEW,3,2,6,18,7.50,85,0,0,0.00,9
REPORTING,LOW,DONE,1,1,0,0,0.00,74,0,0,0.00,3
CAMPAIGN,HIGH,IN_PROGRESS,4,3,18,45,16.00,90,2,1,2.00,34
SYSTEM_SETUP,MEDIUM,DONE,3,3,0,0,0.00,82,1,0,0.00,14
OTHER,LOW,DONE,1,1,0,0,0.00,71,0,0,0.00,2
TRAINING,HIGH,IN_PROGRESS,4,3,20,28,13.00,89,2,0,0.00,22
SCRIPTING,MEDIUM,DONE,3,2,0,0,0.00,83,0,0,0.00,7
QUALITY_ASSURANCE,CRITICAL,IN_PROGRESS,5,4,0,0,0.00,94,3,2,6.50,44
COACHING,LOW,DONE,2,1,4,12,4.00,79,0,0,0.00,6
REPORTING,MEDIUM,DONE,2,1,0,0,0.00,76,0,0,0.00,4
CAMPAIGN,CRITICAL,IN_PROGRESS,5,5,30,60,22.00,95,4,2,10.00,60
SYSTEM_SETUP,HIGH,DONE,4,4,0,0,0.00,86,2,0,0.00,26
OTHER,MEDIUM,DONE,2,2,0,0,0.00,77,0,0,0.00,5
TRAINING,MEDIUM,TO_DO,3,2,8,18,9.50,84,1,0,0.00,12
SCRIPTING,LOW,DONE,2,1,0,0,0.00,78,0,0,0.00,4
QUALITY_ASSURANCE,HIGH,IN_PROGRESS,4,3,0,0,0.00,89,2,1,3.00,28
COACHING,MEDIUM,DONE,3,2,7,16,6.50,86,0,0,0.00,10
REPORTING,LOW,DONE,1,1,0,0,0.00,73,0,0,0.00,3
CAMPAIGN,HIGH,IN_PROGRESS,4,3,14,38,14.00,88,2,1,2.50,32
SYSTEM_SETUP,MEDIUM,DONE,3,3,0,0,0.00,81,1,0,0.00,15
OTHER,LOW,DONE,1,1,0,0,0.00,69,0,0,0.00,2
TRAINING,CRITICAL,IN_PROGRESS,5,4,22,26,17.00,92,3,1,4.50,38
SCRIPTING,HIGH,DONE,4,2,0,0,0.00,85,0,0,0.00,11
QUALITY_ASSURANCE,MEDIUM,IN_REVIEW,3,2,0,0,0.00,87,1,0,0.00,13
COACHING,HIGH,IN_PROGRESS,4,3,9,22,9.50,88,1,0,0.00,19
REPORTING,LOW,DONE,1,1,0,0,0.00,75,0,0,0.00,3
CAMPAIGN,MEDIUM,TO_DO,3,2,11,32,10.50,85,1,0,0.00,21
SYSTEM_SETUP,CRITICAL,IN_PROGRESS,5,5,0,0,0.00,91,3,1,5.50,45
OTHER,MEDIUM,DONE,2,2,0,0,0.00,75,0,0,0.00,6
TRAINING,MEDIUM,DONE,3,2,9,19,10.00,86,1,0,0.00,14
SCRIPTING,LOW,DONE,2,1,0,0,0.00,77,0,0,0.00,4
QUALITY_ASSURANCE,HIGH,IN_PROGRESS,4,3,0,0,0.00,90,2,1,2.00,24
COACHING,MEDIUM,DONE,3,2,5,14,6.00,84,0,0,0.00,9
REPORTING,LOW,DONE,1,1,0,0,0.00,72,0,0,0.00,3
CAMPAIGN,HIGH,IN_PROGRESS,4,3,16,42,15.50,89,2,1,3.00,35
SYSTEM_SETUP,MEDIUM,DONE,3,3,0,0,0.00,83,1,0,0.00,16
OTHER,LOW,DONE,1,1,0,0,0.00,68,0,0,0.00,2
TRAINING,HIGH,IN_PROGRESS,4,3,18,24,12.00,88,2,0,0.00,21
